solar_curr_mA,load_power_mW
0.0,7758.435754058236
0.0,7758.315650588836
0.0,7758.195545260143
0.0,7758.075438072071
0.0,7757.955329024533
0.0,7757.835218117442
0.0,7757.715105350713
0.0,7757.594990724259
0.0,7757.474874237993
0.0,7757.354755891832
0.0,7757.234635685684
0.0,7757.1145136194655
0.0,7756.994389693091
0.0,7756.874263906473
0.0,7756.754136259524
0.0,7756.6340067521605
0.0,7756.513875384293
0.0,7756.393742155838
0.0,7756.273607066707
0.0,7756.153470116813
0.0,7756.033331306072
0.0,7755.913190634395
0.0,7755.793048101697
0.0,7755.672903707891
0.0,7755.5527574528915
0.0,7755.43260933661
0.0,7755.31245935896
0.0,7755.192307519857
0.0,7755.072153819216
0.0,7754.9519982569445
0.0,7754.83184083296
0.0,7754.711681547176
0.0,7754.591520399506
0.0,7754.4713573898625
0.0,7754.351192518159
0.0,7754.231025784309
0.0,7754.110857188228
0.0,7753.990686729826
0.0,7753.870514409019
0.0,7753.750340225719
0.0,7753.630164179839
0.0,7753.509986271295
0.0,7753.389806499996
0.0,7753.269624865859
0.0,7753.149441368797
0.0,7753.029256008723
0.0,7752.90906878555
0.0,7752.78887969919
0.0,7752.668688749559
0.0,7752.5484959365685
0.0,7752.428301260132
0.0,7752.308104720164
0.0,7752.187906316576
0.0,7752.067706049284
0.0,7751.947503918199
0.0,7751.827299923235
0.0,7751.707094064305
0.0,7751.5868863413225
0.0,7751.466676754202
0.0,7751.346465302854
0.0,7751.226251987195
0.0,7751.106036807135
0.0,7750.98581976259
0.0,7750.865600853472
0.0,7750.745380079695
0.0,7750.625157441171
0.0,7750.5049329378135
0.0,7750.384706569535
0.0,7750.264478336251
0.0,7750.144248237875
0.0,7750.024016274316
0.0,7749.903782445491
0.0,7749.783546751313
0.0,7749.663309191694
0.0,7749.543069766545
0.0,7749.422828475784
0.0,7749.302585319321
0.0,7749.182340297069
0.0,7749.062093408942
0.0,7748.941844654854
0.0,7748.821594034718
0.0,7748.701341548445
0.0,7748.58108719595
0.0,7748.460830977146
0.0,7748.340572891945
0.0,7748.220312940261
0.0,7748.100051122007
0.0,7747.979787437096
0.0,7747.859521885441
0.0,7747.7392544669565
0.0,7747.6189851815525
0.0,7747.498714029145
0.0,7747.378441009645
0.0,7747.258166122966
0.0,7747.137889369023
0.0,7747.017610747726
0.0,7746.897330258991
0.0,7746.777047902729
0.0,7746.656763678853
0.0,7746.536477587276
0.0,7746.416189627912
0.0,7746.295899800674
0.0,7746.175608105473
